company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Jon Swan Inc,929 2nd Ave,2nd Avenue,Private,Professional Service & Consulting,Commercial Printing (Except Screen And Books),Printers (Mfrs),587000,10k-25k,2500-4999,40.520117,-80.164101
Swan Label & Tag Co,929 2nd Ave # A,2nd Avenue,Private,Industry,Paper Bag And Coated And Treated Paper Manufacturi,Labels-Paper (Mfrs),2397000,10k-25k,20000-39999,40.520117,-80.164101
Home Base Inc,425 Mill St,Mill Street,Private,Professional Service & Consulting,Software Publishers,Computer Software,7258000,50k-100k,20000-39999,40.517719,-80.164108
Athletes Readiness Ctr,948 4th Ave,4th Avenue,Private,Fitness,Fitness And Recreational Sports Centers,Health Clubs Studios & Gymnasiums,50000,Less than 10k,1500-2499,40.518349,-80.164215
Military Spouse Magazine,429 Mill St,Mill Street,Private,Professional Service & Consulting,Periodical Publishers,Publishers-Magazine (Mfrs),818000,10k-25k,2500-4999,40.517626,-80.164234
Vintage Revival,429 Mill St,Mill Street,Private,Antiques,Used Merchandise Stores,Antiques-Dealers,216000,Less than 10k,1-1499,40.517626,-80.164234
American Risk Management,1004 5th Ave # 1,5th Avenue,Private,"Financial, Insurance & Notary Services",All Other Insurance Related Activities,Insurance Consultants & Advisors,465000,Less than 10k,1500-2499,40.517182,-80.164298
E & C Svc Inc,1004 5th Ave # 200,5th Avenue,Private,Professional Service & Consulting,Executive Search Services,Executive Search Consultants,862000,10k-25k,40000-99999,40.517182,-80.164298
Helping Hands Credit Repair,1004 5th Ave,5th Avenue,Private,Non-profit,Other Personal Care Services,Credit & Debt Counseling Services,129000,Less than 10k,1500-2499,40.517182,-80.164298
Royal Hands Handyman Svc,1004 5th Ave,5th Avenue,Private,Home Remodel & Repair,Residential Remodelers,Handyman Services,345000,Less than 10k,1-1499,40.517182,-80.164298
T Salvie Photography,1004 5th Ave,5th Avenue,Private,Professional Service & Consulting,"Photography Studios, Portrait",Photographers-Portrait,37000,Less than 10k,1500-2499,40.517182,-80.164298
Anderson Construction-Rmdlng,944 4th Ave # A,4th Avenue,Private,Home Remodel & Repair,Residential Remodelers,Remodeling & Repairing Bldg Contractors,1721000,Less than 10k,1500-2499,40.518318,-80.164385
Computer Investment Advice Inc,505 Mill St # 2,Mill Street,Private,Professional Service & Consulting,Software Publishers,Computer Software,2823000,25k-50k,5000-9999,40.517298,-80.164405
Debenham Media Group,416 Mill St,Mill Street,Private,Professional Service & Consulting,"Software And Other Prerecorded Compact Disc, Tape,",Video Tape Duplication Service,1423000,25k-50k,5000-9999,40.517998,-80.164407
Posh Studio,511 Mill St,Mill Street,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,134000,Less than 10k,1-1499,40.517242,-80.164444
Keystone Martial Arts,422 Mill St,Mill Street,Private,Fitness,Sports And Recreation Instruction,Martial Arts Instruction,78000,Less than 10k,1500-2499,40.517871,-80.164495
Snows Polaris-Victory South,931 4th Ave,4th Avenue,Private,Automotive,"Motorcycle, Atv, And All Other Motor Vehicle Deale",Motorcycles & Motor Scooters-Dealers,1290000,10k-25k,1-1499,40.519079,-80.164549
Nira Associates Inc,950 5th Ave,5th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Construction,3752000,100k-250k,20000-39999,40.517372,-80.164734
